"unlist.xx."
"1769837_at"	"YGL179C"
"1769844_at"	"YFL046W"
"1769845_at"	"YHL032C"
"1769848_at"	"YKL140W"
"1769850_at"	"YPL127C"
"1769851_at"	"YKL211C"
"1769852_at"	"YBR142W"
"1769853_at"	"YBR295W"
"1769854_at"	"YDR223W"
"1769857_at"	"YKL085W"
"1769858_at"	"YLR029C"
"1769860_at"	"YCR020W-B"
"1769863_at"	"YJL025W"
"1769865_at"	"YMR048W"
"1769866_at"	"YLR312W-A"
"1769868_at"	"YML091C"
"1769870_at"	"YLR299W"
"1769871_at"	"YMR128W"
"1769874_at"	"YPR155C"
"1769875_at"	"YLR240W"
"1769876_at"	"YOR338W"
"1769877_at"	"YIL052C"
"1769880_at"	"YLR137W"
"1769885_at"	"YJL196C"
"1769887_at"	"YHR133C"
"1769888_at"	"YOR179C"
"1769890_at"	"YMR131C"
"1769891_at"	"YNL055C"
"1769892_at"	"YJR135C"
"1769895_at"	"YIL128W"
"1769900_at"	"YBR128C"
"1769901_at"	"YCR094W"
"1769903_at"	"YLR212C"
"1769904_at"	"YDL108W"
"1769905_at"	"YJR151C"
"1769906_at"	"YOR042W"
"1769907_at"	"YGL252C"
"1769908_at"	"YLR262C"
"1769913_s_at"	"YDL244W"
"1769914_at"	"YDR076W"
"1769916_at"	"YLL050C"
"1769919_at"	"YPL131W"
"1769921_at"	"YMR221C"
"1769925_at"	"YBR215W"
"1769927_at"	"YBR258C"
"1769929_at"	"YFL034C-A"
"1769931_at"	"YKR068C"
"1769932_at"	"YDR252W"
"1769935_at"	"YLL027W"
"1769936_at"	"YDR069C"
"1769937_at"	"YBR084W"
"1769938_at"	"YKL132C"
"1769942_at"	"YOL005C"
"1769943_at"	"YJL200C"
"1769945_at"	"YKR092C"
"1769946_at"	"YKR042W"
"1769948_at"	"YMR283C"
"1769951_at"	"YJL082W"
"1769952_at"	"YDL168W"
"1769954_at"	"YGL195W"
"1769955_at"	"YGR088W"
"1769958_at"	"YMR135C"
"1769959_at"	"YDL085W"
"1769961_at"	"YDL236W"
"1769962_at"	"YLR300W"
"1769967_at"	"YCR036W"
"1769968_at"	"YPR184W"
"1769972_at"	"YHR046C"
"1769973_at"	"YGR108W"
"1769977_at"	"YPL078C"
"1769978_at"	"YBR095C"
"1769979_at"	"YCL032W"
"1769981_at"	"YKL135C"
"1769986_at"	"YDL223C"
"1769988_at"	"YNR067C"
"1769992_at"	"YKR086W"
"1769993_at"	"YBR186W"
"1769994_at"	"YGR104C"
"1769997_at"	"YAL067C"
"1769998_at"	"YLR346C"
"1770001_at"	"YDR516C"
"1770003_at"	"YDR239C"
"1770008_at"	"YIL019W"
"1770009_at"	"YMR115W"
"1770010_at"	"YDL173W"
"1770011_at"	"YOL066C"
"1770012_at"	"YCL043C"
"1770013_at"	"YFL052W"
"1770014_at"	"YEL051W"
"1770015_at"	"YOR011W-A"
"1770016_at"	"YNL163C"
"1770017_at"	"YGL006W"
"1770020_at"	"YGL211W"
"1770023_at"	"YDL055C"
"1770026_at"	"YBL017C"
"1770027_at"	"YPL206C"
"1770032_at"	"YPL095C"
"1770034_at"	"YBR268W"
"1770035_at"	"YGL084C"
"1770036_at"	"YOL090W"
"1770037_at"	"YGL228W"
"1770039_at"	"YLL051C"
"1770040_at"	"YLL014W"
"1770043_at"	"YHR170W"
"1770044_at"	"YML124C"
"1770047_at"	"YHR065C"
"1770048_at"	"YOR062C"
"1770049_at"	"YOR157C"
"1770050_at"	"YOL036W"
"1770054_at"	"YPL067C"
"1770055_at"	"YMR306W"
"1770056_at"	"YOL145C"
"1770058_at"	"YOL098C"
"1770059_at"	"YKL219W"
"1770062_at"	"YGR178C"
"1770063_at"	"YOL021C"
"1770065_at"	"YBR011C"
"1770067_at"	"YJR140C"
"1770071_at"	"YGR144W"
"1770072_at"	"YMR008C"
"1770073_s_at"	"YMR322C"
"1770074_at"	"YBR141C"
"1770075_at"	"YJL133W"
"1770079_at"	"YNR061C"
"1770080_at"	"YDR079W"
"1770082_at"	"YDR454C"
"1770084_at"	"YIL009W"
"1770087_at"	"YPL262W"
"1770088_at"	"YIL166C"
"1770089_at"	"YFR038W"
"1770092_at"	"YDR266C"
"1770093_at"	"YLR001C"
"1770095_at"	"YER186C"
"1770098_at"	"YML125C"
"1770099_at"	"YGL048C"
"1770101_at"	"YBR028C"
"1770102_at"	"YHR118C"
"1770106_at"	"YGR081C"
"1770108_at"	"YKL047W"
"1770109_at"	"YHL001W"
"1770112_at"	"YDR440W"
"1770113_at"	"YNL287W"
"1770114_at"	"YDR460W"
"1770115_at"	"YLR313C"
"1770116_at"	"YDR062W"
"1770118_at"	"YOR178C"
"1770120_at"	"YJL016W"
"1770122_at"	"YOR279C"
"1770123_at"	"YJL218W"
"1770125_at"	"YDL218W"
